Company,Project,Location,State,AnnouncementDate
Google,Fort Wayne Data Center Campus, Fort Wayne,IN,2023-11-01
Microsoft,Mount Pleasant Campus, Racine County,WI,2023-06-01
Digital Realty,Expansion, Northern Virginia,VA,2023-01-01
QTS Realty Trust,Expansion, Various sites,TX,2023-01-01
Meta,Monroe Campus, Richland Parish,LA,2024-12-01
AWS,AI Innovation Campuses, Salem & Falls Townships,PA,2024-01-01
Microsoft,Des Moines Campus, Various counties,IA,2024-01-01
AWS,$1B Expansion Addition, Central Ohio,OH,2024-11-01
Google,Omaha/Papillion Campus, Near Omaha,NE,2025-01-01
Google,Expansion, Various counties,NC,2025-01-01
Google,Berkeley & Dorchester Counties Campuses,SC,2025-03-01
Meta,Aiken County Campus,SC,2025-03-01
Cielo Digital Infrastructure,Cherokee County Campus,SC,2025-03-01
AWS,Multiple AI Campuses, Various counties,NC,2025-06-04
AWS,AI Innovation Campuses (update/expansion), Salem & Falls Townships,PA,2025-06-15
Crusoe Energy/Blue Owl Capital/Primary Digital Infrastructure,Abilene AI Campus (Phase 2),TX,2025-06-15
Novva Data Centers,Project Borealis, Mesa,AZ,2025-06-15
Tract,Multi-GW Technology Park, Caldwell County,TX,2025-06-15
Applied Digital (for CoreWeave),Ellendale AI Campus,ND,2025-06-15
NTT,Expansion, Hillsboro,OR,2025-06-15
NTT,Expansion, Phoenix,AZ,2025-06-15
Edgecore Digital,Hyperscale Development, Metro Phoenix,AZ,2025-06-15
PowerHouse Data Centers/Pennsylvania Data Center Partners,Three Hyperscale Campuses, Carlisle,PA,2025-07-15
Vantage Data Centers,Frontier Campus, Shackelford County,TX,2025-08-19
Applied Digital,Polaris Forge 2, Harwood,ND,2025-08-01
OpenAI/Oracle,Stargate Data Center, Abilene,TX,2025-09-24
Yondr Group,Hyperscale Campus Expansion, Dallas,TX,2025-09-01
Vantage Data Centers,Additional Campus, Undisclosed,TX,2025-09-01
Applied Digital,Expansion, North Dakota (undisclosed site),ND,2025-09-01
EdgeConneX,Expansions, Chicago & Atlanta,IL,2025-09-01
EdgeConneX,Expansions, Chicago & Atlanta,GA,2025-09-01
OpenAI/Oracle/Vantage Data Centers,Stargate Expansion Site,WI,2025-10-23
CleanArc,VA1 Campus Expansion, Northern Virginia,VA,2025-10-07
